#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
8717536729090,0.0020108473988948838,0.0009920527153786732,0.0010153677008143784,0.1745870962140142,-9.686339166631866,1.0589456916980242
8717537729090,-0.0017308012883744377,0.012912316461908102,0.00035521077910553953,0.16566980703432221,-9.677404512175881,1.0826061875440716
8717538724390,0.0020906568808174188,-0.018426332861045707,0.0002556019634283599,0.19440329772683296,-9.648660423736038,1.0963798172517978
8717539719590,-0.00010907070082987955,0.00789751341414733,-0.00018580154699896628,0.22214596222818556,-9.648680796346442,1.072700033800792
8717540709990,-0.002513427824379336,0.0007791315286043987,-0.003112659223801273,0.2033205870056059,-9.677432160733996,1.062851790233989
8717541709990,-0.0008993962242874343,-0.007500880959800001,-0.002295697653307583,0.2033205870056059,-9.677432160733996,1.0727015184630389
8717542705190,0.0014086027192049717,0.012036042012858225,-0.001793425910056678,0.2181827160203969,-9.648677885967343,1.0776306811330765
8717543700390,-0.00783487094514758,-0.01775191294716764,-0.00234409292389571,0.2181827160203969,-9.64371814238154,1.0727102975829121
8717544690890,-0.00122729305537541,0.013273660841239585,0.0027400553887170307,0.1983665439346216,-9.643703590529334,1.0727392138319276
8717545690890,-0.0028924669410484447,-8.992038105819916e-05,-0.004372109618757957,0.21322867294941256,-9.619908113348634,1.072739032776171
8717546686090,-0.0010422133835252421,-0.014769146406484097,-0.0020937867998472863,0.2181827160203969,-9.634790982267518,1.0490789439929864
8717547681290,-0.0032123754730699096,0.024069048008307177,0.00043571342930899017,0.18944925475492957,-9.66254368957204,1.0353062099311188
8717548671790,0.0009682955824207341,-0.014802340631091686,0.002793134958266168,0.18944925475492957,-9.643697042187219,1.049112807985774
8717549671790,-0.0015241556374204351,-0.006011383080857045,0.0007276548622311323,0.18944925475492957,-9.658575327043973,1.054024231458716
8717550666990,-0.0036038531841193866,0.017923917626026638,0.0016497982083536287,0.17954116871204195,-9.66749615723174,1.0628954499257321
8717551662190,0.0017266996827602597,-0.012909870607870137,-8.21403933581235e-05,0.1983665439346216,-9.648663334115138,1.058945043370522
8717552652690,0.00051775783845777,0.007283080115209228,-0.0028267931908061415,0.2033205870056059,-9.662553875877242,1.049075540978527
8717553652690,0.0023724429588636766,-0.0055220695551565745,0.00046803451492573225,0.18449521178302625,-9.643693404224205,1.0441951729826795
8717554647890,-0.004646073819029737,0.002288624233607088,-0.002844871112738399,0.18449521178302625,-9.653612891495003,1.0589608042466918
8717555643090,0.002512005917869844,0.00036723071297774246,0.00038221808996206225,0.17954116871204195,-9.66749615723174,1.0825949062853344
8717556633590,-0.0017961686941388687,-0.014770640620982496,-0.0013386508624031383,0.20827462997750923,-9.65858915131219,1.0677864508528145
8717557633590,0.0006652743297183954,0.016523680235110735,0.0030072835065689,0.22214596222818556,-9.677445985002214,1.0677491838455675
