#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
8988972303690,-0.003025851268806259,-0.003380388142117753,0.0017539538350897742,0.05172671454646206,-9.677320838950068,1.002004591075487
8988973303690,0.002136506598025785,0.0009929777320891314,0.0007640458657860033,0.05172671454646206,-9.667402297679116,0.9734492690105869
8988974298990,-0.0017316536834256543,0.012570219633323339,-0.005920633451651679,0.03785538239486673,-9.643585720403363,0.9882656088271273
8988975294190,0.0009579405452473932,-0.019189155272901232,0.003014249684032475,0.03785538239486673,-9.610852169219525,0.9882951795434776
8988976284590,0.0019212770134758288,0.01627760013394962,0.0013706226592942166,0.041818613839593136,-9.59597584873118,0.9932277019087135
8988977284590,-0.00024803170802625146,0.00226827342632472,-0.0018548023070744102,0.03290133932388241,-9.56819549290099,0.9972057661348976
8988978279790,-0.002421802938703854,-0.013644870868617053,-0.0005762381280950816,0.04677267157455871,-9.57217309563522,0.9932419789559219
8988979274990,0.002054338282802496,0.019416407306886777,0.00013687240275193305,0.07055210453210393,-9.568223141448266,1.0020756893697336
8988980265490,-0.0026663042021501573,-0.010750649414093764,-0.002688781731627958,0.0844234367827802,-9.563273584068474,1.0256992291613931
8988981265490,-0.0003953033651395285,-0.006895697968720346,0.0013455083229832977,0.08046019057499158,-9.577157577488391,1.025692467327782
8988982260690,0.0006511136178667196,0.010546508653083334,-0.003934225680375923,0.06559804679713836,-9.595993310973252,1.025697128920283
8988983255890,-0.0011702246036974567,-0.015757589760140668,-0.004609527252887361,0.07055210453210393,-9.614843596331932,1.0355227198587496
8988984246290,0.0031769876788118115,0.01591027485327047,-0.0010196848976590177,0.06559804679713836,-9.634678932899673,1.0305870453092012
8988985246290,-0.0021790596557378734,-0.017274662221713654,-0.0014799842291040072,0.06163481535241193,-9.648562926231241,1.049294837465707
8988986241490,0.0014014911671818772,0.009017377100994983,0.00031904631066067245,0.05172671454646206,-9.648555650294297,1.0443844315464812
8988987236690,0.002030112038162028,0.009171634721678402,-0.0054534781802639135,0.06559804679713836,-9.65848437787045,1.049280094044522
8988988227190,0.004097957422955659,-0.01979387600686039,-0.003022122163590645,0.041818613839593136,-9.682273306698196,1.0630829773973043
8988989227190,0.003805582616482353,0.016039524993957777,-0.0021499759932293245,0.018039195546029216,-9.710029651965733,1.049302896765886
8988990222390,0.001378127834411139,-0.0008751590833113443,-0.0008774468041128939,0.03290133932388241,-9.73880670052131,1.0443303588463333
8988991217590,0.003220698439333652,-0.018804043143739155,-0.0001268627351820456,0.041818613839593136,-9.752700152651675,1.0354400930642744
8988992207990,0.007330814332536129,0.018899982859202913,-0.00038478717271254537,0.014075949338240565,-9.776486171011896,1.054173506319161
8988993207990,0.003490359968888558,-0.01103230765111637,-0.0008276193253936442,0.02299323861701351,-9.791371950210683,1.0492221882806276
8988994203190,0.008929756900173998,0.0042270185421412546,0.0008905898496862517,0.03785538239486673,-9.791382864110641,1.0442756370071196
8988995198390,0.0032606184682891105,-0.0019035564418566839,0.002748392141749702,0.03785538239486673,-9.786423120524839,1.0679195355990774
8988996188890,0.007265138487429974,-0.008920441075384016,0.00017888312538183807,0.07550614760308823,-9.772563865273098,1.106291032831556
8988997188890,0.006692745711955186,0.014753057835418061,0.0022238320394438625,0.07550614760308823,-9.752724890830692,1.1063089548920935
8988998184090,0.005232997137739039,-0.018071248556271048,0.002130389042902788,0.05172671454646206,-9.733860781104532,1.0827213792790091
8988999179290,0.009704108439458386,0.01285994514651674,0.002829017063592681,0.041818613839593136,-9.72492634505364,1.0866837463187042
